Công ty,Hình ảnh logo,Giới thiệu công ty,Quy mô công ty,Quốc Gia,Website công ty,Tagline,Lĩnh vực công ty,Địa chỉ công ty
Ngân hàng TMCP An Bình (ABBANK),https://assets.topdev.vn/images/2020/12/10/logoix91C4zNZxjSXOSWq4xUrJZcHpUbB3xH-39Ezs.png,"Ngân hàng TMCP An Bình (ABBANK) được thành lập ngày 13/05/1993, với tầm nhìn trở thành một trong những Ngân hàng TMCP hàng đầu Việt Nam tập trung vào lĩnh vực bán lẻ. Theo đuổi chiến lược hoạt động gắn với hiệu quả và bền vững cùng phương châm “lấy sự hài lòng của khách hàng làm trọng tâm trong mọi hoạt động kinh doanh”, trong suốt chặng đường 27 năm phát triển, ABBANK luôn được đánh giá là một Ngân hàng uy tín, là người đồng hành tận tâm, đáng tin cậy của các Khách hàng, Đối tác và Nhà đầu tư. ABBANK chú trọng công tác nâng cao chất lượng dịch vụ với đội ngũ nhân sự chuyên nghiệp, tận tâm; phát triển các sản phẩm dịch vụ giải pháp tài chính tiện ích, hiệu quả và linh hoạt; nâng cấp cơ sở vật chất và mở rộng mạng lưới điểm giao dịch rộng khắp trên toàn quốc. Tất cả nỗ lực này nhằm tạo ra giá trị gia tăng cùng những trải nghiệm dịch vụ tài chính vượt trội cho khách hàng khi giao dịch với ABBANK. Không chỉ hướng đến sự bền vững trong hoạt động kinh doanh, ABBANK còn ghi dấu ấn là một Ngân hàng thân thiện và tích cực trong các hoạt động cộng đồng, hướng đến sự phát triển bền vững, lâu dài của xã hội thông qua các dự án đầu tư cho giáo dục, y tế, khuyến tài và những chiến dịch “sống xanh” được thực hiện trên khắp các vùng miền đất nước. VỐN ĐIỀU LỆ: 5.713 tỷ đồng CỔ ĐÔNG CHIẾN LƯỢC Tập đoàn Geleximco - Công ty cổ phần Ngân hàng Malaysia Berhad (MayBank) - Ngân hàng lớn nhất Malaysia Tổ chức Tài chính Quốc tế (IFC) trực thuộc Ngân hàng Thế giới (World Bank) MẠNG LƯỚI GIAO DỊCH: 165 điểm tại 34 tỉnh/thành phố PHỤC VỤ: 1.000.000 khách hàng 100% khách hàng cá nhân và 90% khách hàng doanh nghiệp hài lòng khi sử dụng sản phẩm dịch vụ của ABBANK.",Over 1000,Vietnam,https://www.abbank.vn/,ABBANK,Ngân Hàng,"Quận 1, Hồ Chí Minh - Quận Đống Đa, Hà Nội"
Sisu Network,https://assets.topdev.vn/images/2024/05/20/TopDev-images---Steven-Smith-1716187218.png,"Sisu is a decentralized blockchain that powers cross-chain communication. We support cross-chain token swapping (e.g. native, ERC20 or ERC721) to facilitate digital monetary transactions like Bitcoin, Crypto, and other digital currencies. Sisu can support almost all modern blockchains, and we are adding more and more supported tokens as we progress. Our network also allows developers to interact with cross-chain contracts as if they are working on the same chain to reduce time spent learning new languages and help them build their own networks.",25-99,United States,https://sisu.network/,Unify the Fragmented Blockchain World,Software, Remote
CÔNG TY TNHH SAMSUNG SDS VIỆT NAM,https://assets.topdev.vn/images/2024/01/18/TopDev-a058039cffaa55dc00205bcb5d97da44-1705553654.jpg,"Samsung SDS được thành lập năm 1985 với tư cách là phân nhánh ICT của Tập đoàn Samsung. Tầm nhìn của chúng tôi là trở thành một nhà dẫn đầu chuyển đổi kỹ thuật số, sử dụng nền tảng phân tích dữ liệu, AI và công nghệ blockchain tiên tiến, để phục vụ đa dạng các ngành công nghiệp bao gồm: dịch vụ tài chính, dây chuyền sản xuất thông minh, logistic toàn cầu và bán lẻ. Với khát vọng ấy, Samsung SDS trao trọn sự tin tưởng vào nguồn nhân lực tại Việt Nam sáng tạo, giàu nhiệt huyết, máu lửa với đam mê và sẵn sàng thử thách. Khát vọng, tin tưởng đi kèm với nỗ lực hành động, Samsung SDS hướng tới xây dựng ngôi nhà chung, nơi mà mọi thành viên không còn làm việc như những cỗ máy lập trình mà còn là những nhân tố tạo ra các ý tưởng, hiện thức hóa với những đam mê, hoài bão cùng Samsung SDS chắp cánh. Hơn bao giờ hết, ngay lúc này chúng tôi chào đón những nhân tài, cùng mang tầm nhìn của Samsung SDS vươn ra thế giới lớn.",Over 1000,South-Korea,https://www.samsungsds.com/,Realize your vision,Dịch vụ IT,"Quận Cầu Giấy, Hà Nội - Huyện Yên Phong, Bắc Ninh"
NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN KIÊN LONG,https://assets.topdev.vn/images/2024/06/14/TopDev-logo-kienlongbank_64e3409558de2-1718329390.png,"Kien Long Bank Mạng lưới hoạt động (tính đến hết ngày 31/10/2021) gồm có: Hội sở và 134 Chi nhánh, Phòng Giao dịch trên toàn quốc. Ngân hàng có một Công ty con là Công ty TNHH Một thành viên Quản lý nợ và Khai thác tài sản – Ngân hàng TMCP Kiên Long. Tính đến ngày 31/10/2021, vốn điều lệ của KienlongBank là 3.652.818.780.000 đồng. Hoạt động chính: Huy động vốn ngắn, trung và dài hạn theo các hình thức tiền gửi tiết kiệm, tiền gửi thanh toán, chứng chỉ tiền gửi. Cấp tín dụng dưới hình thức cho vay, bảo lãnh, bao thanh toán, chiết khấu, tái chiết khấu giấy tờ có giá. Cung ứng các phương tiện thanh toán, cung ứng dịch vụ thanh toán, kinh doanh ngoại hối và thực hiện dịch vụ ngân hàng khác.",Over 1000,Vietnam,https://kienlongbank.com/,Kien Long Bank - Sẵn sàng chia sẻ,Ngân Hàng,"Quận Nam Từ Liêm, Hà Nội"
Cathay Life,https://assets.topdev.vn/images/2020/02/20/logo-%282%29.png,"Công ty TNHH BHNT Cathay thành lập tháng 08 năm 1962, trực thuộc tập đoàn tài chính hàng đầu Cathay. Trong hơn 4 thập niên qua, với sự hỗ trợ đắc lực của hơn 26.000 nhân viên chuyên nghiệp, các cổ đông cùng mạng lưới khách hàng rộng lớn, chính sách chăm sóc khách hàng chu đáo, công ty BHNT Cathay đã luôn duy trì được mức doanh thu, tài sản và chính sách phát triển ổn định. Ngày nay, tại Đài Loan, công ty BHNT Cathay chính là thương hiệu số một trong ngành bảo hiểm nhân thọ. CÔNG TY TNHH BHNT CATHAY VIỆT NAM: CAM KẾT CUNG CẤP DỊCH VỤ BẢO HIỂM VÀ TÀI CHÍNH ƯU VIỆT NHẤT CÙNG CHẤT LƯỢNG PHỤC VỤ HOÀN HẢO TRÊN MỌI PHƯƠNG DIỆN CHO NGƯỜI VIỆT NAM Với mục tiêu trở thành tập đoàn tài chính vững mạnh nhất khu vực Châu Á, Công ty BHNT Cathay chính thức thành lập “Công ty bảo hiểm nhân thọ Cathay Việt Nam”, là công ty Châu Á đầu tiên được Bộ tài chính cấp phép hoạt động trong lĩnh vực bảo hiểm nhân thọ. Kế thừa lịch sử hơn 50 năm hoạt động thành công cùng quan niệm kinh doanh thực tế, nhiệt thành phục vụ theo phương châm “Luôn tôn trọng khách hàng, hướng tới một dịch vụ hoàn hảo”, công ty Cathay ngày càng khẳng định được vị thế của mình tại thị trường trong và ngoài nước, tự tin đưa dịch vụ của công ty từ Đài Loan vươn tới thị trường Việt Nam. Bước đầu gia nhập thị trường bảo hiểm nhân thọ Việt Nam, Cathay sẽ tiếp tực duy trì chính sách kinh doanh ổn định vững mạnh, cung cấp dịch vụ bảo hiểm tài chính toàn diện, đồng thời thực hiện mục tiêu trở thành tập đoàn tài chính vững mạnh nhất khu vực châu Á. Tầm nhìn Trong tương lai, chúng tôi tin tưởng sẽ nhân đôi thành công của chiến lược tác động kép hai mũi nhọn ""Bảo hiểm + Ngân hàng"" từ tập đoàn tài chính Cathay Đài Loan để trở thành định chế tài chính vững mạnh và đáng tin cậy nhất ở Việt Nam. Sứ mệnh Bước đầu, chúng tôi sẽ tập trung xây dựng đội ngũ đại lý xuất sắc (trọng tâm là những đại lý toàn thời gian và chuyên nghiệp). Bên cạnh đó, với ban lãnh đạo xuất xắc, chúng tôi sẽ vận dụng hơn 50 năm kinh nghiệm ở Đài Loan một cách tốt nhất trong việc tiếp thị và thiết kế nên những sản phẩm độc đáo nhằm từng bước tạo một bản sắc riêng của Cathay Life trên thị trường Việt Nam. Giá trị cốt lõi Bước tiếp theo, chúng tôi sẽ mở rộng kinh doanh đến những nhân viên của các công ty Đài Loan tại Việt Nam. Ngoài ra, với đà tăng trưởng của thị trường, chúng tôi cũng sẽ mở rộng bảo hiểm nhóm và bảo hiểm liên kết ngân hàng bằng cách cộng tác với Ngân hàng Indovina và ngân hàng Cathay United (Việt Nam) và khách hàng của họ.",Over 1000,Taiwan,https://www.cathaylife.com.vn/cathay/,Cùng Gieo Mầm Hôm Nay - Cho Tương Lai Phồn Thịnh,Bảo Hiểm,"Quận 1, Hồ Chí Minh - Quận 1, Hồ Chí Minh"
SPS Vietnam Company Limited,https://assets.topdev.vn/images/2023/02/07/TopDev-SPS_Logo-wTag_green_rgb_pos-1675757792.png,"ABOUT SPS SPS is a leading technology-driven business transformation company. With our innovative Enterprise Workplace Solutions, we empower organizations to adopt hybrid work concepts to enhance productivity and flexibility. Our Technology Business Solutions bring together cutting-edge technology, deep vertical process expertise, and a diverse global workforce to support clients in their digital transformation journey and efficiently tackle their most complex challenges. Headquartered in Zurich, Switzerland, SPS operates in more than 20 countries and focuses on clients in banking, insurance and health. SPS has more than 8,500 employees and is recognized with a world-class NPS by its global client base. We act with precision, connect people to the right information, and turn data into insights for better outcomes. Discover how our dedicated team at SPS makes an impact that matters by visiting www.spsglobal.com. 1. Great Benefits: Competitive and performance-oriented remuneration system On-going training and development plan Promotion & bonus opportunities Private medical care for you and your family, Professional and challenging working environment. 2. Advance your career: We provide you with support to sharpen your skills and knowledge for further steps in your career path Opportunities to learn and grow through different types of training: Talent Development program, Succession planning as well as promotions or transfers. 3. Break your limits: The innovation is a key value of SPS Vietnam. Joining our team, you are encouraged to think out of the box, cross your boundaries and improve yourself in our continuous improvement process during daily business operation. 4. Go Global: The moment you join SPS Vietnam is the moment you take the chance to extend your horizon. You will work, cooperate and exchange your creative ideas with 7,500 employees of SPS. Our customers, which are 20% of Fortune 100, are located from around the world.",Over 1000,Switzerland,https://www.spsglobal.com/en/home,Swiss Quality - Made in Vietnam,Dịch vụ IT,"Quận 12, Hồ Chí Minh"
TopDev's Client,https://assets.topdev.vn/images/2024/03/01/TopDev-SE6qQ18EbAUjcfoD-1709278717.png,"We are American company that specializes in developing software for the music industry. The programs we develop help record labels and artists market and monetize their music. We have offices in US and Europe, and we opened our Hanoi office in 2018. We are a young, dynamic company that is committed to making the music industry a simpler, more profitable place for artists.",25-99,Vietnam,topdev.vn,IT Jobs From TopDev's Client,"Dịch vụ doanh nghiệp, Nhân sự, Triển Khai Phần Mềm","Quận Bình Thạnh, Hồ Chí Minh - Quận 3, Hồ Chí Minh"
Hào Quang Việt,https://assets.topdev.vn/images/2022/09/09/TopDev-hqv-logo2-QuytTrn-1662714094.png,"Hào Quang Việt là Công ty cung cấp các giải pháp bảo mật cho SSL & định danh phần mềm, tên miền, lưu trữ dữ liệu & máy chủ. Cung cấp phần mềm, thiết kế & phát triển website.",10-24,Vietnam,https://haoquangviet.com/,Web Solutions,Phần Mềm,"Quận 1, Hồ Chí Minh"
Ngân hàng TMCP Hàng Hải Việt Nam (MSB),https://assets.topdev.vn/images/2021/09/27/TopDev-3a1441dc6eeb30a7e676c538a9438cbf-1632727590.PNG,"Ngay từ khi thành lập, MSB đã ghi dấu ấn trong ngành Ngân hàng khi tiên phong ứng dụng Công nghệ. Trải qua 30 năm hình thành & phát triển, MSB không ngừng tạo lập nhiều cột mốc mang tính đột phá trong ngành Tài chính - Ngân hàng: 2022, Đạt giải “Ngân hàng chuyển đổi số tiêu biểu” của năm 2021 do Hiệp hội Ngân hàng và Tập đoàn dữ liệu quốc tế (IDG) vinh danh. 2021, 02 siêu dự án: Digital Factory (DF); Core Banking và nhiều dự án Công nghệ khác thuộc Khối Công nghệ của MSB đã tạo nên một Tổ hợp Công nghệ lớn (MSB Digital Innovation). Tổ hợp này có nhiệm vụ mang tính chiến lược, định hình hoạt động của MSB trong thời gian 10-15 năm tới. Tính đến 2020, MSB đã đưa vào sử dụng gần 230 ứng dụng cùng nhiều công nghệ mới hiện đại (Cloud, Machine Learning, AI, Low code, vv…). 2019, MSB triển khai thay đổi toàn diện từ nhận diện thương hiệu đến mô hình trải nghiệm để trở thành ngân hàng đáng tin cậy, thấu hiểu khách hàng nhất & đạt lợi nhuận cao tại VN. 2018, MSB tiếp tục tiên phong trong việc ứng dụng công nghệ 4.0 & trở thành ngân hàng đầu tiên ứng dụng trí tuệ nhân tạo (AI) vào phát hành thẻ tín dụng & tích hợp thành công phương thức thanh toán QR code với 2 đối tác lớn là Vnpay & Payoo. 2015, MSB trở thành 1 trong những ngân hàng TMCP hàng đầu VN về vốn điều lệ & mạng lưới khi sáp nhập ngân hàng TMCP Phát Triển Mê Kông & mua lại công ty Tài Chính Cổ Phần Dệt May VN. Từ 2009 - 2010, MSB xây dựng chiến lược kinh doanh lâu dài/quy mô với sự tư vấn của tổ chức Quốc tế McKinsey Với các chính sách thu hút và coi trọng hiền tài, MSB mong sẽ được đồng hành cùng bạn để tiếp tục thiết lập những dấu ấn công nghệ, giúp bạn tỏa sáng và tạo nên sự bứt phá mới cho Ngân hàng.",Over 1000,Vietnam,https://d-innovation.msb.com.vn/,MSB - Cùng vươn tầm,"Ngân Hàng, Tài Chính, Công nghệ thông tin","Quận Đống Đa, Hà Nội - Quận 1, Hồ Chí Minh"
Hanatour Japan System Việt Nam (HJSV),https://assets.topdev.vn/images/2022/03/10/TopDev-4f03a1588ae4cd4af47d602ba84c8cfc-1646905353.png,"Hanatour Japan System Việt Nam (https://hanatourjsv.com/) là một công ty 100% vốn đầu tư của Hanatour Japan (http://www.hanatourjapan.jp/). Chúng tôi chuyên phát triển các hệ thống Web ứng dụng, tích hợp API với đối tác, phục vụ cho các lĩnh vực về du lịch, dịch vụ liên quan. Các sản phẩm chúng tôi đã phát triển (Từ thiết kế hệ thống tới vận hành hệ thống): https://www.japantopken.com (Hệ thống bán vé trực tuyến cho khách lẻ) https://agency.gorillajapan.com (Hệ thống đặt phòng khách sạn và vé trực tuyến cho đại lý) Ngoài ra, chúng tôi thực hiện tích hợp API với đối tác để thực hiện đặt phòng khách sạn và vé trực tuyến cho đại lý.",10-24,Japan,http://hanatourjsv.com,Hanatour - Join to build your own brand value with us,Phần Mềm,"Quận Phú Nhuận, Hồ Chí Minh"
Công ty TNHH Yura Corporation Bắc Ninh_Chi nhánh Hà Nội,https://assets.topdev.vn/images/2024/04/24/TopDev-Anh-chup-man-hinh-2024-04-24-163816-1713951535.png,"We at YURA Corporation are recruiting talented people in Vietnam. Currently we have cooperated with global companies such as Hyundai/Kia Motors, Hyundai Mobis, Samsung SDI, LG EnSol, Daimler and operate 21 companies in 16 countries around the world. We have established a unit ""YURA Corporation R&D Vietnam"" to expand our business and are currently looking for talented people to develop together. We look forward to receiving interest from candidates. For details about the company, please see: https://www.yuracorp.co.kr/en/index.jsp",Over 1000,Korea,https://www.yuracorp.co.kr/en/index.jsp,Nhanh hơn - Tốt hơn - Tiên phong,"Software, Phần Mềm","Quận Cầu Giấy, Hà Nội"
Mirae Asset Finance Company (Vietnam),https://assets.topdev.vn/images/2024/02/05/TopDev-dABBxxi9wRepG2Iz-1707125546.png,"Mirae Asset Finance Company Vietnam is a member of Mirae Asset Financial Group, a global financial group from Korea, with 20 years of experience in finance, securities, investment, asset management etc., and is present in 16 countries with 200 offices and branches worldwide. Being present in Vietnam in 2006 and officially operating in 2011, the Company has been built with the vision of always pursuing an optimal investment management strategy in order to support customers with achieving their long-term goals. In addition, Mirae Asset Finance Company Vietnam has made continuous efforts to improve its consumer financial products with a purpose of creating favorable conditions for the customers to effectively, legally and safely access the capital.",5.000-9.999,South-Korea,http://mafc.com.vn,Professional - Friendly - Effective,"Product, Fintech, Finance","Quận 1, Hồ Chí Minh"
Care Health,https://assets.topdev.vn/images/2023/08/03/TopDev-25f6746a7067509100f52fc0be445eb0-1691036286.jpg,"Care is on a mission to create a world where healthcare is patient-centered, seamless, and accessible anywhere.  We are in a strategic partnership with our sister company, Raffles Medical Group, to provide 100+ medical services digitally in 14 cities and more.  Today, our app is used at the frontlines of COVID19 to support doctors through telemedicine, vaccine paassports, and test certificates. As the digital natives of today become the aging population of tomorrow, we hope to use this momentum to build a health ""superapp"" that makes healthcare and insurance seamless.  We are an engineer-led company that seeks clean code, uptime, and product-market fit. Come join us, and bring your talents to solve the biggest problems in the world today.",25-99,Singapore,https://www.getcare.io/health-resources,Care Health,Software,"Quận 3, Hồ Chí Minh"
MenuWise,https://assets.topdev.vn/images/2024/06/13/TopDev-5e08dbab276b03a39d059be70d4d52b0-1718263603.png,MenuWise provides a web app used by the worlds best chefs to manage their recipes and menus smarter and faster.,10-24,New Zealand,https://menuwise.com/,Cost a recipe in minutes!,Software,"Quận Cầu Giấy, Hà Nội"
VIETCAP SECURITIES,https://assets.topdev.vn/images/2023/11/03/TopDev-Logo-Cong-Ty-Cp-Chung-Khoan-VIETCAP-1698998970.png,"Vietcap Trading Our trading platform is built on the core values of transparency, efficiency and usability. It aims to provide investors with the tools to make the best investing and financial planning decisions that will shape their future. Functionalities include real-time and high frequency trading, fast execution, automated margin lending, conditional orders, cash transfer, portfolio monitoring, and financial analysis. Accessible via desktop (Vietcap Pro), website, and mobile app. We specialize in consulting clients and providing them with effective financial solutions that are tailored to their specific needs. Vietcap’s Values Since 2007, we have been dedicated to putting our clients first and providing high-quality products & services. Our growth has always been fueled by fostering a thriving workplace that nurtures employee career development and promotes a healthy work-life balance. We regularly organize a vibrant mix of companywide social activities, and we wholeheartedly encourage staff members to give back to our community by engaging in volunteer work. At Vietcap, it’s not just about business; it’s a fulfilling journey for all.",100-499,Vietnam,https://www.vietcap.com.vn,VIETCAP SECURITIES JOINT STOCK COMPANY,"Product, Chứng khoán","Quận 1, Hồ Chí Minh"
"VIET LINK SOLUTIONS CO .,LTD",https://assets.topdev.vn/files/logos/31428deef180d77fc615f7e0dc81bffd.png,non-existent,,,non-existent,,,"Quận 1, Hồ Chí Minh"
KMS Technology,https://assets.topdev.vn/files/logos/83013c268988052b803dc4b44ebf7345.png,"Established in 2009, KMS Technology is a U.S.-based engineering and services company with development centers in Vietnam. KMS Technology is trusted by international clients for the superior quality of products and expertise of Vietnamese engineers. KMS builds and successfully launches its own software companies through its internal startup incubator, KMS Labs. Most notable companies include QASymphony, Katalon, Kobiton, and Grove. Under the brand, KMS Solutions, the company serves the Asia Pacific region, offering technology solution consulting and bringing the most advanced and latest technologies to the Asian market. KMS is committed to making a long-lasting social impact by partnering with non-profit organizations that give disadvantaged students fair and better employment opportunities. The company regularly cooperates with universities, participates in IT training activities and specialized events, and sponsors scholarship programs in Vietnam. The company has received many prestigious industry awards and has been named one of the greatest places to work in Vietnam, Asia, and the U.S. for many years in a row. Join us to write your own success stories! https://careers.kms-technology.com/",Over 1000,United States,https://careers.kms-technology.com/,Global Technology Company,"Product, Phần Mềm, Dịch vụ IT, Gia công phần mềm","Quận Hải Châu, Đà Nẵng - Quận Tân Bình, Hồ Chí Minh - Quận Tân Bình, Hồ Chí Minh - Quận 3, Hồ Chí Minh"
FPT IS,https://assets.topdev.vn/images/2024/05/03/TopDev-glQDdmhvsNpKO4qt-1714706079.png,"As a cornerstone of FPT Corporation, a leader in integrated solutions and IT services in Vietnam for nearly three decades, FPT IS proudly stands as a trusted partner, committed to co-creating future value through technology alongside top enterprises and organizations, both domestically and globally. Recognized for its technical expertise by customers and partners worldwide, FPT IS has been instrumental in designing and implementing comprehensive IT products, projects, services, and solutions across key sectors, enriching the lives of millions. With over 3,400 employees and an extensive network of offices and branches spanning all 63 provinces and cities, FPT IS has recently been honored by Vietnam Report as one of the Top 10 Most Reputable Technology Companies in 2023, and also awarded the ""Best Companies To Work For In Asia 2023"" accolade by HR Asia.",Over 1000,Vietnam,https://fpt-is.com/,Best Companies To Work For In Asia 2023,"Information Technology, B2B Services, Technology and Computer Sciences","Quận 7, Hồ Chí Minh - Quận Nam Từ Liêm, Hà Nội - Quận Sơn Trà, Đà Nẵng"
BIOTURING,https://assets.topdev.vn/images/2024/06/05/TopDev-bioturing_logo---Nga-Ly-1717580349.jpg,"BioTuring is an innovative bioinformatics company based in San Diego. Founded in 2016, the company has developed transformational bioinformatics platforms for sequencing data analysis, enabling scientists to gain valuable insights from biological data in an interactive, fast, and accurate approach.",25-99,United States,https://bioturing.com/aboutus,Accelerated life science discoveries,Software,"Thành phố Thủ Đức, Hồ Chí Minh"
Viettel Group,https://assets.topdev.vn/images/2023/02/03/TopDev-Viettel-Logo-Original-1675389520.png,"Tập đoàn Công nghiệp – Viễn thông Quân đội, thường dược biết đến dưới tên giao dịch Viettel hay Tập đoàn Viettel, là một tập đoàn viễn thông và công nghệ Việt Nam được thành lập vào ngày 1 tháng 6 năm 1989. Các ngành nghề chính của tập đoàn bao gồm: ngành dịch vụ viễn thông & công nghệ thông tin; ngành nghiên cứu sản xuất thiết bị điện tử viễn thông, ngành công nghiệp quốc phòng, ngành công nghiệp an ninh mạng và ngành cung cấp dịch vụ số. Sản phẩm nổi bật nhất của Viettel hiện nay là mạng di động Viettel Mobile. Công ty thành viên Viettel Telecom của Viettel hiện đang là nhà mạng giữ thị phần lớn nhất trên thị trường dịch vụ viễn thông Việt Nam. Hiện nay, Viettel đã đầu tư tại 10 thị trường nước ngoài ở 3 châu lục gồm Châu Á, Châu Mỹ và Châu Phi. Năm 2021, Viettel đạt doanh thu 274.000 tỷ VND. Viettel được đánh giá là một trong những công ty viễn thông có tốc độ phát triển nhanh nhất thế giới. Năm 2021, Viettel đã trở thành doanh nghiệp thuộc Top 15 công ty viễn thông lớn nhất thế giới về số thuê bao, Top 40 công ty viễn thông lớn nhất thế giới về doanh thu. Giá trị thương hiệu của Viettel được Brand Finance xác định là 8,8 tỷ USD – thuộc Top 227 thương hiệu lớn nhất trên thế giới, và là thương hiệu giá trị nhất tại Việt Nam.",Over 1000,Vietnam,https://tuyendung.viettel.vn/,Viettel - Show us your way,"Viễn Thông, Phần Mềm, Dịch vụ doanh nghiệp","Quận Cầu Giấy, Hà Nội - Quận Cầu Giấy, Hà Nội - Quận Nam Từ Liêm, Hà Nội - Quận 10, Hồ Chí Minh - Quận Ba Đình, Hà Nội - Huyện Thạch Thất, Hà Nội - Quận Tây Hồ, Hà Nội - Quận Nam Từ Liêm, Hà Nội"
iTechwx,https://assets.topdev.vn/images/2023/04/17/TopDev-%5Bremoval.ai%5D_tmp-643d0d4737a99-1681722803.png,"About us iTechwx is newly born in the summer of 2022 in Ho Chi Minh City, Vietnam. We locate in Binh Thanh District, settling the office inside Opal Tower. As the first stop in SEA region, iTechwx encounters Vietnam, and particularly the city of Ho Chi Minh because of the richness in human resources, as well as the prospecting technology industries in this robust city. We see opportunities - specifically to the sector of cloud solutions and managed IT services. We believe a One-Stop Digital Transformation Service is the solution to most enterprises. iTechwx is specialized in agile recruiting, designated training, and managing services to drive exceptional quality in delivery. iTechwx is also empowered to incubate technical talents. We invent highly efficient training, mentoring, onboarding, and quality assurance processes, incorporating with the essence of customer services. We see the city is awaiting to practice the most to succeed. We invest on the talents. iTechwx commits to carefully treat each employee, and to forge a company brand full of vitality. Employees in iTechwx always find easy access to company resources. Teams are supplemented with supporting groups to take care of employee work experience. iTechwx dedicates the One-Stop Digital Transformation Service to our customers Contact Center Services iTechwx constructs contact centers with customer-oriented advocates, supporting global customers with multi-languages and multi-media. iTechwx offers tech-focused contact center services, with our advanced operation standards, specialized training programs, and innovative management structure. Information Technology Services iTechwx provides services including design, development, testing, maintenance, support, and project management for both software and hardware products in frontier technological domains such as Cloud Computing, Internet of Things, Big Data, Smart Technology, Mobile Technology, etc. Conquer the Everest, Together with iTechwx.",100-499,United States,https://itechwxrecruiting.jobday.vn,"Conquer the Everest, Together with iTechwx",Dịch vụ IT,"Quận Bình Thạnh, Hồ Chí Minh - Thành phố Thủ Đức, Hồ Chí Minh"
"VISION SEMICON VIET NAM CO., LTD",https://assets.topdev.vn/images/2024/05/09/TopDev-ead13e7aef51dfce748565a7835e21d6-1715241991.jpg,"Vision Semicon là doanh nghiệp chuyên sản máy móc, thiết bị phục vụ cho các nhà máy điện tử: máy làm sạch plasma, lò sấy oven, hệ thống robot, AGV, LGV với tập khách hàng rộng khắp trên toàn thế giới. Trong đó thiết bị plasma của công ty luôn giữ vị trí số 1 trên toàn thế giới. Công ty được vận hành với phương châm rằng giá trí của doanh nghiệp là dựa trên những kĩ thuật của quá khứ và hiện tại để sáng tạo nên những kĩ thuật của tương lai, đem lại sự hài lòng cho khách hàng. Công ty đã có chi nhánh sản xuất tại Việt Nam và IT Center - Aram Vina được thành lập với mục tiêu thiết kế, cung cấp phần mềm điều khiển các sản phẩm máy móc, trang thiết bị đang sản xuất.",25-99,South-Korea,http://www.visionsemicon.co.kr/en/main,Idea of respecting human beings,Gia công phần mềm,"Quận Tây Hồ, Hà Nội"
Công ty Cổ phần Công nghệ Truyền thông Việt Nam (VNTT),https://assets.topdev.vn/images/2024/04/03/TopDev-Logo-VNTT---English---Tien-Nguyen-1712113621.png,"Công ty Cổ phần Công nghệ Truyền thông Việt Nam (tên tiếng Anh: VIET NAM TECHNOLOGY & TELECOMMUNICATION JOINT STOCK COMPANY; Tên viết tắt: VNTT) là công ty được thành lập với sự góp vốn của 02 cổ đông sáng lập: Tổng Công ty Đầu tư và Phát triển Công nghiệp (Becamex IDC), Tập đoàn Bưu chính Viễn thông Việt Nam (VNPT) Là đơn vị đáp ứng toàn diện, đa dạng các nhu cầu Viễn thông Công nghệ thông tin (ICT); dịch vụ trung tâm dữ liệu với eDatacenter đạt tiêu chuẩn TIA942/Tier 3 về vị trí địa lý và độ khả dụng đạt 99,982%; dịch vụ M.E.P cho các doanh nghiệp tại thị trường TP Hồ Chí Minh, Bình Dương và tại các Khu công nghiệp do Becamex IDC làm chủ đầu tư khắp cả nước. VNTT đã chuẩn hóa quy trình quản lý và cung cấp dịch vụ theo tiêu chuẩn quốc tế, đạt chứng nhận ISO 9001:2015 và ISO 27001:2013.",100-499,Vietnam,https://vntt.com.vn/,Luôn luôn đổi mới để phát triển,Dịch vụ doanh nghiệp,"Thành phố Thủ Dầu Một, Bình Dương"
HIPTECH SOLUTION,https://assets.topdev.vn/images/2023/03/29/TopDev-Hiptech-Solution-1680072895.png,"HIPTECH Solution là công ty Công nghệ thông tin, được thành lập từ năm 2020 và phát triển cho đến nay. Hiện tại HIPTECH đã có mặt tại TP.HCM với 1 văn phòng đại diện và 2 văn phòng làm việc. Trong thời gian tới HIPTECH có kế hoạch mở rộng quy mô ra Hà Nội và Đà Nẵng. HIPTECH chuyên cung cấp các giải pháp toàn diện về công nghệ chuyển đổi số như: xây dựng giải pháp, triển khai, kiểm thử và bảo trì nhằm giúp khách hàng tối ưu hoá hoạt động sản xuất kinh doanh, vận hành và yên tâm giao lại phần việc CNTT cho nhóm kỹ thuật của chúng tôi. Một số dự án nổi bật trong nước và quốc tế như: EV Charger - Trạm sạc xe điện, TNT Zalo OA, CRM - Odoo, ERP, Gaming device software, Stream Deck, Portal,... Chuyên môn: Software solution, Oracle ebs/cloud, Data service, Embedded, Software development, Gaming development, Quality control, Visual design (UI/UX design), Mobile application,... Để biết thêm thông tin, vui lòng truy cập: https://www.hiptechvn.com/",25-99,Vietnam,http://hiptechvn.com/,HIPTECH Solution for all,"Software, Information Technology","Thành phố Thủ Đức, Hồ Chí Minh - Quận Tân Bình, Hồ Chí Minh - Thành phố Thủ Đức, Hồ Chí Minh - Thành phố Thủ Đức, Hồ Chí Minh"
